kn_number,redshift,expl_epoch
0,0.010642107459710391,869
1,0.010638420208810163,599
2,0.008138625261061171,174
3,0.0056024976974024115,399
4,0.010198548320038227,1336
5,0.010931974652518162,980
6,0.006472915806047212,64
7,0.0099392186901539,1121
8,0.008620781062938624,598
9,0.009413717791354779,1059
