reconstructed_time,input_cyan,input_orange,reconstructed_mag,filter
38,15.348202576277464,14.35120257627746,14.35120257627746,o
40,16.9095139350378,15.9125139350378,15.9125139350378,o
44,18.63374424075059,17.636744240750595,17.636744240750595,o
46,,18.32128590627746,18.32128590627746,o
