mjd,interp_mag
0,-14.833841565683738
1,-14.21984944434669
2,-13.272530206923399
3,-12.700117455103145
4,-12.194349237976613
5,-12.039004509087935
6,-11.548299901210607
7,-11.10884156568374
8,-10.863758235683742
9,-10.300424895683742
10,-9.59042489568374
11,-9.437797203576695
12,-9.449413344119408
13,-9.148461473209677
