expname,mjd,mag,magerr,snr,filter,x,y,flux,dflux,peakval,peakfit,dpeak,chi/N,skyfit,skyval,major,minor,snrdet,snrlimit,ra,dec,zp,apfit,uJy,duJy,mag5sig,texp
02a58285o0180c,58285.32544615,>20.57,0.00,3.0,c,10161.80,7664.90,-1290.6,481.6,136.0,-8.8,6.4,6.32,175.1,182.5,2.80,2.62,1.0,3.0,197.45034,-23.38147,22.246,-0.399,-14.256756762985297,10.368550373080213,19.58,30.0
02a58285o0190c,58285.33004845,17.80,0.04,25.98,c,435.53,7608.62,-5451.3,506.6,167.0,163.7,6.3,324.10,-75.1,181.3,2.84,2.66,1.0,3.0,197.45034,-23.38147,22.234,-0.397,275.6305815231881,10.607652190568631,19.52,30.0
02a58285o0197c,58285.33331865,>20.55,0.00,3.0,c,10235.00,7742.64,-1306.5,419.9,174.0,0.8,6.5,8.40,178.2,182.9,2.80,2.61,1.0,3.0,197.45034,-23.38147,22.245,-0.398,1.2911219691669495,10.490365999481467,19.56,30.0
02a58285o0214c,58285.34113075,>20.55,0.00,3.0,c,10254.00,7624.99,-986.0,456.3,201.0,0.2,6.3,4.74,178.0,183.2,2.84,2.66,1.0,3.0,197.45034,-23.38147,22.239,-0.396,0.3348950416975096,10.549193813471552,19.56,30.0
02a58293o0182o,58293.32560355,>19.32,0.00,3.0,o,7682.76,9711.09,2406.5,1607.0,152.0,-17.8,25.3,2.25,192.4,185.0,2.45,2.27,1.0,3.0,197.45034,-23.38147,22.190,-0.432,-23.72961483948951,33.72804805837554,18.45,30.0
02a58293o0199o,58293.33349955,>19.34,0.00,3.0,o,7666.96,9671.57,2509.8,1449.8,157.0,11.8,24.8,3.44,186.7,179.3,2.46,2.25,1.0,3.0,197.45034,-23.38147,22.184,-0.422,15.598339830936801,32.78295150908751,18.42,30.0
02a58293o0211o,58293.33903795,>19.04,0.00,3.0,o,6470.90,1.50,233462.0,87126.0,-31415.0,-1313.3,23.1,37.99,-2411.2,-2037.9,2.92,2.69,1.0,3.0,197.45034,-23.38147,22.190,-0.405,-2412.002874258575,42.42539130082471,18.22,30.0
02a58293o0218o,58293.34223955,>19.17,0.00,3.0,o,7722.43,9748.86,1633.5,1758.9,117.0,25.3,27.7,3.35,179.0,184.3,2.52,2.28,1.0,3.0,197.45034,-23.38147,22.178,-0.412,34.58873302580489,37.86987766066386,18.38,30.0
02a58293o0237o,58293.35102935,>19.21,0.00,3.0,o,7759.50,9630.62,1563.0,2254.3,82.0,-28.6,27.6,2.93,197.0,187.8,2.47,2.23,1.0,3.0,197.45034,-23.38147,22.166,-0.418,-38.11067094918906,36.77813000690972,18.33,30.0
02a58309o0076c,58309.27789635,20.34,0.38,2.38,c,8443.46,6695.66,-767.6,543.1,172.0,16.9,7.1,7.30,174.7,180.3,2.79,2.53,1.0,3.0,197.45034,-23.38147,22.222,-0.384,26.56379832322755,11.15993894052755,19.5,30.0
02a58309o0092c,58309.28538755,19.67,0.23,4.21,c,8426.26,6657.90,482.6,511.6,218.0,32.8,7.8,8.01,175.7,179.7,2.72,2.47,1.0,3.0,197.45034,-23.38147,22.226,-0.388,49.07026985018648,11.669149537544348,19.52,30.0
02a58309o0109c,58309.29326905,>20.54,0.00,3.0,c,8479.88,6735.14,-183.8,473.2,183.0,5.3,7.1,10.02,180.3,180.2,2.71,2.46,1.0,3.0,197.45034,-23.38147,22.223,-0.39,7.904219877903307,10.588671911908204,19.53,30.0
02a58309o0126c,58309.30121605,>20.49,0.00,3.0,c,8498.58,6619.31,1276.6,537.7,177.0,3.4,7.6,5.55,183.8,180.7,2.64,2.41,1.0,3.0,197.45034,-23.38147,22.199,-0.398,4.984006864036285,11.140721225492872,19.52,30.0
02a58317o0030c,58317.25552365,,,,c,,,,,,,,,,,,,1.0,3.0,197.45034,-23.38147,21.526,,,,17.41,30.0
02a58317o0041c,58317.26077605,>18.84,0.00,3.0,c,9782.93,9059.21,3675.0,1938.2,193.0,-6.8,22.5,2.44,220.6,205.6,2.71,2.49,1.0,3.0,197.45034,-23.38147,21.796,-0.3855,-15.148034862435823,50.12217417717736,18.11,30.0
02a58317o0074c,58317.27627675,>16.05,0.00,3.0,c,9838.53,9098.50,3185.5,2513.9,157.0,-64.2,36.3,3.17,151.9,147.1,2.71,2.52,1.0,3.0,197.45034,-23.38147,19.538,-0.401,-1174.8532023709508,664.2861564807712,15.27,30.0
02a58317o0075c,58317.27673455,17.45,0.65,1.22,c,21.48,8950.02,-46739.9,7523.3,36.0,89.5,73.4,1.17,106.7,196.6,2.85,2.65,1.0,3.0,197.45034,-23.38147,21.217,-0.39,381.937687741612,313.2315785501042,17.23,30.0
02a58321o0030o,58321.25451675,>19.56,0.00,3.0,o,8818.06,9710.99,274.5,1339.2,163.0,-37.6,25.9,1.91,190.0,185.0,2.22,1.97,1.0,3.0,197.45034,-23.38147,22.198,-0.43,-39.05582272609688,26.902814058667797,18.68,30.0
02a58321o0042o,58321.26005305,>19.70,0.00,3.0,o,8801.93,9671.45,677.1,1179.6,192.0,-12.2,21.9,6.56,180.4,184.0,2.23,2.02,1.0,3.0,197.45034,-23.38147,22.190,-0.432,-13.173306860597245,23.647165594022926,18.8,30.0
02a58321o0058o,58321.26746665,>19.61,0.00,3.0,o,8856.82,9748.69,-2506.0,1383.1,106.0,-48.7,22.1,3.57,191.9,185.2,2.30,2.10,1.0,3.0,197.45034,-23.38147,22.183,-0.431,-56.69631559822118,25.728718166749243,18.76,30.0
02a58321o0062o,58321.26932215,,,,o,,,,,,,,,,,,,1.0,3.0,197.45034,-23.38147,22.196,,,,18.79,30.0
02a58321o0075o,58321.27538725,>19.76,0.00,3.0,o,8873.78,9630.14,-4934.2,1434.3,178.0,-37.6,20.5,2.42,193.1,186.7,2.24,2.03,1.0,3.0,197.45034,-23.38147,22.183,-0.454,-42.093074350211126,22.94968149413106,18.76,30.0
02a58325o0026o,58325.24853435,19.10,0.56,1.48,o,10129.90,9263.61,-2863.9,2712.4,183.0,66.7,45.1,1.78,188.5,211.4,2.45,2.15,1.0,3.0,197.45034,-23.38147,22.197,-0.4225,82.94861204100818,56.08669269939232,18.06,30.0
