number,redshift,ra,dec,expl_epoch,detected
0,0.011566,207.634832,74.604484,58008.937691,False
1,0.010554,77.108217,72.513099,57706.170868,False
2,0.011934,145.837176,7.046133,59021.364216,False
3,0.007578,116.186768,50.819639,57572.777878,False
4,0.010483,73.941084,-35.044465,57700.534112,False
5,0.009191,284.511265,-30.242977,58116.345225,False
6,0.009223,305.307229,27.098094,58801.536874,False
7,0.007311,40.181562,35.486061,58484.871688,True
8,0.011060,357.969572,13.142296,57748.417626,False
9,0.011327,82.568410,55.672863,58772.745281,False
10,0.013649,34.765502,16.781032,58942.392694,False
11,0.010271,49.324524,20.624955,57913.724211,False
12,0.008931,10.045424,-34.457407,57752.031652,False
13,0.006255,246.044111,41.337203,58805.432660,False
14,0.010958,233.920958,-1.923582,58850.207193,False
15,0.008473,4.615885,14.860482,57617.801987,True
16,0.013158,278.927872,-8.056653,58082.224768,False
17,0.011923,102.216926,19.300839,58710.697564,False
18,0.007378,68.603948,1.579208,58797.192740,True
19,0.010738,196.111035,47.088490,58848.365304,False
20,0.011092,132.703755,-15.997607,58975.095899,True
21,0.011499,143.153192,-36.000558,58208.870982,False
22,0.006995,95.206497,11.921131,57959.934983,False
23,0.007464,111.185783,54.563705,58601.432692,False
24,0.005183,4.400228,6.828639,58156.539655,True
25,0.012260,325.643798,-9.190384,57448.666114,False
26,0.012986,174.763239,-17.443079,58974.989466,True
27,0.004414,297.847346,-37.986791,58062.450137,False
28,0.005755,149.783797,-25.889431,57825.552150,True
29,0.003845,28.643957,75.166109,58674.650754,False
30,0.004411,62.486398,-19.334755,58988.636146,False
31,0.013632,351.949412,-31.003747,58373.106892,False
32,0.013309,204.758436,46.459871,58039.183065,False
33,0.006698,49.176607,79.193684,58358.076339,False
34,0.012073,46.806928,40.441284,57879.100682,False
35,0.012891,321.240708,43.562106,57963.032859,False
36,0.012557,262.161628,54.960662,57679.576543,False
37,0.013068,17.813963,36.104719,57758.377418,False
38,0.011510,25.872205,7.544235,58082.112213,False
39,0.013881,46.782985,-19.256121,58283.133528,False
40,0.012542,238.402839,18.548137,58082.005954,False
41,0.013992,305.220730,-22.211133,57733.256576,False
42,0.012046,43.421015,55.602128,57908.880768,False
43,0.010621,98.619227,38.604424,58471.823556,True
44,0.004826,2.986062,45.766526,57378.732885,False
45,0.011910,117.457183,28.983735,58744.536727,False
46,0.008043,280.110181,74.256127,58110.374343,False
47,0.007008,292.944348,64.701646,58097.615530,False
48,0.012330,259.934082,-27.601665,58574.977489,False
49,0.011657,110.834739,34.033578,57529.494799,False
