number,redshift,ra,dec,expl_epoch,detected
0,0.015966,140.138306,-25.787894,58671.205026,False
1,0.020264,327.186987,66.792119,57737.529159,False
2,0.021466,49.022435,69.278126,58619.688732,False
3,0.012657,227.165096,61.341949,58710.636764,False
4,0.006544,184.791776,51.523543,57401.941061,False
5,0.021085,202.904375,7.785527,58457.901418,False
6,0.020216,199.736999,18.578363,58277.679605,False
7,0.023069,133.294539,43.171639,58903.374840,False
8,0.024822,344.096253,32.403466,57892.136812,False
9,0.019719,147.199554,-27.918714,58034.070609,False
10,0.019725,194.159755,68.741024,58910.700793,False
11,0.022623,67.882450,21.700588,58814.181921,False
12,0.021204,47.250872,41.693834,57401.541539,False
13,0.020271,58.828600,15.958255,57610.412311,False
14,0.019056,93.867700,55.542431,57906.463415,False
15,0.016464,302.158254,58.641320,58151.924057,False
16,0.013844,67.249594,75.944793,58510.008225,False
17,0.024512,217.374001,14.464215,58664.682939,True
18,0.013343,159.439393,75.300668,58285.125135,False
19,0.021027,316.942806,76.258883,58606.764768,False
20,0.019486,241.781412,11.822016,57558.804194,False
21,0.021635,350.260428,-29.826953,58322.237073,False
22,0.016168,309.331115,-20.455809,58358.892677,False
23,0.018225,233.594613,13.165634,57898.814134,False
24,0.024167,333.119736,48.417936,59007.554795,False
25,0.024483,238.026550,58.819864,57772.833242,False
26,0.014988,18.096683,25.192406,58477.825953,True
27,0.012053,43.838126,-17.881124,57455.983789,False
28,0.024258,104.808484,66.609680,58583.816853,False
29,0.015905,136.225456,24.432960,58052.120494,False
30,0.008641,267.899030,33.139430,58981.050154,True
31,0.016693,271.103369,24.357419,59002.966132,True
32,0.016117,307.074743,46.361879,57809.121908,False
33,0.008806,268.130400,77.944395,57982.837817,False
34,0.020867,186.735686,14.379534,58332.597387,False
35,0.014443,105.878935,68.623775,57983.904427,False
36,0.022724,258.904997,-25.752222,58354.824027,False
37,0.024227,177.598962,-36.384379,57628.975354,False
38,0.016824,267.417555,39.808590,58860.666311,False
39,0.012408,94.224922,16.570357,58866.133450,False
40,0.015444,325.534496,62.793446,58824.431014,False
41,0.021226,22.654267,52.091245,57944.449144,False
42,0.021061,159.717981,-21.421884,57654.575318,False
43,0.022262,320.574936,58.507748,58870.441281,False
44,0.010046,147.798288,15.710158,57427.074030,False
45,0.023682,192.023247,-6.640686,57628.468612,False
46,0.015424,83.712641,49.885614,58385.970730,False
47,0.022483,303.010267,21.845917,58828.807838,False
48,0.022978,82.019551,3.804655,58534.264383,False
49,0.017827,77.640487,-35.015703,58814.750547,True
50,0.024326,71.762595,17.914220,58422.188271,False
51,0.024063,159.424738,-27.973917,58391.957920,False
52,0.019390,133.363022,62.129957,58173.256356,False
53,0.012774,238.935027,14.145409,57760.278278,True
54,0.018039,51.584652,49.559622,57855.307206,False
55,0.009459,121.181610,17.733690,58501.765918,False
56,0.011137,164.762225,-8.630410,57486.109205,False
57,0.020957,195.411773,35.694483,57746.455150,False
58,0.021952,310.638751,61.187914,57801.339298,False
59,0.016629,283.054666,-35.647613,57429.150239,False
60,0.024667,63.360443,41.127062,58824.240706,False
61,0.024781,21.087676,71.742473,58518.228480,False
62,0.014716,154.241349,29.107313,58941.181515,False
63,0.020867,207.710653,16.521250,58937.406416,False
64,0.023270,167.321531,42.324694,57395.733481,False
65,0.013145,56.886870,22.528912,58746.540084,False
66,0.020797,204.205655,-16.624810,58283.588846,True
67,0.023793,65.401705,76.793369,58359.343515,False
68,0.019664,96.096131,75.099675,57533.537923,False
69,0.011104,234.874665,11.554858,58043.288034,False
70,0.021284,177.775039,41.881790,58216.936460,False
71,0.024045,229.412689,8.208400,58031.461757,False
72,0.017564,310.684548,77.026132,58015.878644,False
73,0.018363,3.989272,-36.607068,57881.165950,False
74,0.022673,244.502347,65.590176,58967.694998,True
75,0.021827,296.242201,28.269280,58509.118400,False
76,0.021076,176.076969,-6.732112,58094.974861,False
77,0.010921,29.798782,49.523632,58384.904317,False
78,0.021558,162.737874,75.905193,57382.091895,False
79,0.021783,56.499396,30.391586,58234.555157,False
80,0.013320,286.625699,69.455931,58809.108286,False
81,0.024808,96.206952,45.858833,58653.410628,False
82,0.006192,90.231949,-3.654317,58528.946539,False
83,0.008310,146.110188,-9.549651,58635.780655,False
84,0.024069,196.186954,0.426903,58937.033937,False
85,0.023037,70.757752,62.937618,58462.545467,False
86,0.019759,349.033659,59.018723,57592.901939,False
87,0.015838,317.001981,-29.554076,57624.099184,False
88,0.019986,143.621620,-33.163012,58396.141750,False
89,0.024061,134.605171,-25.052842,58158.820025,False
90,0.014953,340.111375,61.066850,57968.404753,False
91,0.016575,17.034011,36.589735,57584.212895,False
92,0.024401,274.360565,6.914090,58119.490208,False
93,0.012537,56.951371,68.074759,58919.737543,False
94,0.019651,51.626255,-34.717167,58210.672030,False
95,0.016040,115.415841,3.647763,58163.137237,True
96,0.021517,51.779914,-16.530782,58929.255449,False
97,0.018433,246.053418,1.011022,57669.657221,False
98,0.020372,313.348308,13.345719,58669.026389,False
99,0.017678,125.761460,58.533562,58368.733475,False
100,0.023373,75.679749,-30.461733,57413.213507,False
101,0.019432,247.330116,-37.644856,58039.036599,False
102,0.024354,50.997535,35.404217,57803.992364,False
103,0.009543,163.596382,30.606654,58245.666464,False
104,0.017696,292.755625,9.702355,57852.300270,False
105,0.018888,94.954605,78.245825,57786.562608,False
106,0.022995,326.103706,55.043615,57710.723801,False
107,0.024614,206.831781,52.435200,57510.083036,False
108,0.014251,54.731658,-0.631279,57734.155058,False
109,0.013770,44.329499,46.570365,58974.723349,False
110,0.019242,28.315113,61.476463,58947.178005,False
111,0.019210,228.328029,-18.506553,58498.184799,False
112,0.013863,46.765658,-9.423221,58101.607250,False
113,0.023292,121.782268,13.711991,58067.558974,False
114,0.020709,90.554001,60.607673,57606.532179,False
115,0.016173,170.382796,64.703266,58081.677652,False
116,0.019556,293.329915,70.759208,58572.694350,False
117,0.013093,261.703847,-2.247338,58907.419984,False
118,0.016776,216.158940,27.673994,58084.018336,False
119,0.021165,133.050663,44.782773,58110.245779,False
120,0.021703,262.423829,-37.725704,58572.313236,False
121,0.013838,163.225391,38.754325,57703.792600,False
122,0.020711,89.524551,40.313414,58163.837339,False
123,0.018942,71.384052,65.072289,58126.581861,False
124,0.015012,49.230248,-34.174082,58031.012213,False
125,0.018371,305.756941,1.873093,58485.298865,False
126,0.022382,157.191002,59.177171,57810.629621,False
127,0.017273,202.806630,72.209631,57872.032017,False
128,0.019211,152.466608,45.173156,57767.742083,False
129,0.018187,289.646107,-13.617735,58097.042298,False
130,0.021004,298.773282,-5.233432,57873.957312,False
131,0.013586,174.069792,56.611158,58606.573328,False
132,0.023868,28.124421,12.436746,58664.719946,False
133,0.019273,245.644420,-8.614987,57477.250984,False
134,0.024908,319.830181,48.343309,58731.598571,False
135,0.020119,145.977690,-27.542136,58341.983267,False
136,0.020347,276.126546,-4.430111,57678.527543,False
137,0.020959,308.639300,-39.580298,58598.477475,False
138,0.024842,112.260559,25.201433,58400.776643,False
139,0.020415,124.183716,57.217288,58742.842488,False
140,0.017436,218.394792,9.559529,58353.540936,False
141,0.023242,142.183929,-2.209521,58430.057970,False
142,0.020766,332.152544,25.628014,57704.061823,False
143,0.015277,342.838421,37.650500,59002.563983,False
144,0.017552,275.455143,35.918149,58859.678321,False
145,0.021726,62.704556,5.822645,57645.990905,False
146,0.011657,96.147952,-10.299562,57467.219702,False
147,0.011515,81.901426,-14.035739,58043.926789,False
148,0.023257,72.697647,-38.098096,58276.598116,False
149,0.023331,39.060636,8.980701,58181.438481,False
150,0.018378,109.631304,-22.567044,58911.038699,False
151,0.010599,340.795226,4.524922,57629.826649,True
152,0.016367,287.361884,79.124137,57830.902317,False
153,0.014856,72.162540,19.404470,57723.972587,False
154,0.023286,56.766830,-11.652937,58584.559282,False
155,0.024929,22.857091,39.532998,58587.937167,False
156,0.018936,164.328383,-1.742578,58972.235001,False
157,0.020179,164.810051,43.666905,58428.521864,False
158,0.011362,137.076547,55.751234,57635.179753,False
159,0.015129,104.629458,49.614376,58444.973543,False
160,0.008800,39.258476,4.781225,58375.925055,True
161,0.006012,169.138335,-30.182632,57503.280573,False
162,0.022062,356.335476,10.523990,58010.263013,False
163,0.019529,198.140143,25.973182,58930.298492,True
164,0.013385,35.583573,48.972919,57760.657688,False
165,0.019485,93.862131,-31.277051,58887.623854,False
166,0.024519,130.845936,-39.967848,57411.032044,False
167,0.014493,85.567849,78.706096,58387.257492,False
168,0.008740,78.635091,-28.246316,58017.686271,True
169,0.011218,189.990741,-34.719952,57832.283774,True
170,0.019995,119.457514,9.985755,58926.964807,False
171,0.024991,235.162044,20.065271,58249.772695,False
172,0.024091,214.562569,-37.946635,58809.350010,False
173,0.022079,167.056949,-27.122862,58553.634345,False
174,0.018712,70.935253,-24.091967,58020.052491,True
175,0.024568,202.134915,49.324097,58855.308521,False
176,0.024528,23.845671,35.159304,58843.965593,False
177,0.009277,36.693061,35.586985,57678.640931,False
178,0.023468,28.679548,2.862755,58156.831093,False
179,0.024699,302.243482,16.806659,58759.177676,False
180,0.012961,82.506849,74.985747,57784.223248,False
181,0.020640,224.407431,60.425034,58790.454169,False
182,0.019613,59.992812,22.646334,58109.041773,False
183,0.020335,278.255169,12.701022,57602.297859,False
