expname,mjd,mag,magerr,snr,filter,x,y,flux,dflux,peakval,peakfit,dpeak,chi/N,skyfit,skyval,major,minor,snrdet,snrlimit,ra,dec,zp,apfit,uJy,duJy,mag5sig,texp
02a58109o0523c,58109.60937475,16.45,0.03,33.12,c,10322.00,1567.98,72889.9,570.7,157.0,112.6,3.4,13.85,144.9,82.2,8.04,5.46,1.0,3.0,197.44875,-23.3838889,22.435,-0.447,958.6626939028469,28.947186139162334,18.81,30.0
02a58109o0527c,58109.61123405,20.14,0.55,1.53,c,557.76,1658.07,66991.5,586.0,95.0,5.5,3.6,12.77,96.2,8.1,5.70,5.08,1.0,3.0,197.44875,-23.3838889,22.407,-0.4515,31.825849353574913,20.831465031430852,18.96,30.0
02a58109o0536c,58109.61538915,18.46,0.14,7.40,c,10300.60,1686.29,71659.1,559.5,138.0,29.6,4.0,11.88,120.8,28.6,5.46,4.85,1.0,3.0,197.44875,-23.3838889,22.447,-0.447,150.35048647550232,20.317633307500312,19.08,30.0
02a58109o0541c,58109.62466105,>19.91,0.00,3.0,c,484.54,1581.63,65458.7,556.6,84.0,-3.9,3.9,10.47,122.7,35.8,5.43,4.83,1.0,3.0,197.44875,-23.3838889,22.431,-0.4425,-19.828520591542866,19.828520591542866,19.01,30.0
02a58109o0555c,58109.63120205,>19.92,0.00,3.0,c,464.59,1698.86,63501.4,519.6,68.0,1.6,3.7,11.98,104.4,21.0,5.60,4.94,1.0,3.0,197.44875,-23.3838889,22.444,-0.443,8.482301473537833,19.61532215755624,19.02,30.0
02a58117o0648o,58117.64258135,>20.88,0.00,3.0,o,3354.59,1153.38,-487.5,515.0,244.0,-362.4,7.7,41.95,170.8,182.3,2.30,1.92,1.0,3.0,197.44875,-23.3838889,22.207,-0.458,-386.8084910936863,8.218613083392341,19.58,30.0
02a58117o0665o,58117.65040115,>20.68,0.00,3.0,o,3371.43,1193.23,-1382.4,418.0,613.0,-59.5,8.9,27.18,162.9,182.1,2.34,1.96,1.0,3.0,197.44875,-23.3838889,22.210,-0.459,-65.83663718083247,9.847833124527881,19.54,30.0
02a58117o0682o,58117.65821935,>20.93,0.00,3.0,o,3316.15,1117.09,-658.5,469.6,646.0,-237.5,7.8,86.31,162.1,182.3,2.22,1.88,1.0,3.0,197.44875,-23.3838889,22.210,-0.465,-240.4657252170115,7.897400659758695,19.58,30.0
02a58117o0699o,58117.66606235,18.28,0.10,10.76,o,3278.23,1235.70,-1425.1,712.5,723.0,167.8,15.6,14.63,162.2,185.3,2.27,1.92,1.0,3.0,197.44875,-23.3838889,22.213,-0.462,176.44030005498234,16.403269850165223,19.19,30.0
02a58121o0885o,58121.60047105,>19.50,0.00,3.0,o,10402.10,3467.30,-2733.6,1282.1,18.0,-232.6,17.2,3.00,196.1,192.9,2.91,2.44,1.0,3.0,197.44875,-23.3838889,22.217,-0.437,-387.94599343987414,28.687321956860856,18.51,30.0
02a58121o0920o,58121.61749695,>19.69,0.00,3.0,o,10417.20,3511.16,1201.0,1237.4,-46.0,-295.9,17.9,5.06,211.6,191.2,2.64,2.17,1.0,3.0,197.44875,-23.3838889,22.222,-0.449,-400.76277133827,24.243506613568886,18.68,30.0
02a58121o0924o,58121.61932125,>19.64,0.00,3.0,o,605.24,3475.19,2529.2,1161.0,409.0,-12.6,17.6,7.47,191.4,185.9,2.72,2.24,1.0,3.0,197.44875,-23.3838889,22.217,-0.442,-18.116162715401842,25.30511617389464,18.66,30.0
