expname,mjd,mag,magerr,snr,filter,x,y,flux,dflux,peakval,peakfit,dpeak,chi/N,skyfit,skyval,major,minor,snrdet,snrlimit,ra,dec,zp,apfit,uJy,duJy,mag5sig,texp
01a58287o0187o,58287.32605765,>20.09,0.00,3.0,o,4897.08,10386.80,-3545.2,612.9,197.0,-67.0,8.5,5.06,167.2,178.8,3.02,2.63,1.0,3.0,197.44875,-23.3852777889,22.160,-0.436,-131.61828858513152,16.69784258169579,19.1,30.0
01a58287o0195o,58287.32974915,>20.14,0.00,3.0,o,3485.60,682.53,-5150.5,733.3,116.0,-135.6,8.1,7.02,171.1,181.1,2.97,2.62,1.0,3.0,197.44875,-23.3852777889,22.141,-0.44,-266.5607339075542,15.92287569801762,19.06,30.0
01a58291o0120o,58291.29422325,>19.54,0.00,3.0,o,10072.60,2609.02,-5046.5,1284.9,121.0,-65.1,14.1,2.10,158.9,172.1,3.13,2.73,1.0,3.0,197.44875,-23.3852777889,22.239,-0.442,-128.63724148592465,27.861522349485977,18.52,30.0
01a58291o0136o,58291.30163805,>19.57,0.00,3.0,o,10088.30,2647.90,-5343.9,1151.6,164.0,-5.1,15.0,2.90,153.6,168.8,3.00,2.60,1.0,3.0,197.44875,-23.3852777889,22.238,-0.449,-9.267093056746264,27.256156049253715,18.57,30.0
01a58291o0139o,58291.30302055,18.41,0.19,5.10,o,269.27,2775.81,-2144.0,1161.1,192.0,81.6,16.0,2.81,159.1,170.6,3.11,2.70,1.0,3.0,197.44875,-23.3852777889,22.242,-0.436,157.14228257776375,30.812212270149757,18.52,30.0
01a58291o0153o,58291.30952785,>19.56,0.00,3.0,o,10015.50,2569.64,-4321.7,1079.6,229.0,-90.0,14.4,4.98,163.5,173.9,3.06,2.66,1.0,3.0,197.44875,-23.3852777889,22.234,-0.445,-170.65708290654217,27.305133265046756,18.5,30.0
01a58291o0156o,58291.31090965,19.19,0.38,2.42,o,288.03,2813.95,-4952.0,1387.2,237.0,40.7,16.8,2.24,151.4,170.9,3.04,2.66,1.0,3.0,197.44875,-23.3852777889,22.240,-0.447,76.38856906219084,31.531399514614407,18.5,30.0
01a58291o0169o,58291.31691485,>19.45,0.00,3.0,o,9997.46,2686.97,831.9,1317.7,185.0,-4.6,15.5,3.44,167.4,169.2,3.09,2.71,1.0,3.0,197.44875,-23.3852777889,22.229,-0.442,-8.990096371061805,30.292716032925647,18.46,30.0
01a58291o0172o,58291.31831225,>19.37,0.00,3.0,o,212.87,2737.30,-1945.9,1437.6,154.0,-55.9,16.7,2.62,158.5,165.2,3.09,2.72,1.0,3.0,197.44875,-23.3852777889,22.235,-0.441,-108.94766747781304,32.547872037199966,18.49,30.0
01a58291o0189o,58291.32616725,19.33,0.43,2.04,o,197.15,2853.58,-3329.8,1583.4,241.0,33.3,16.3,3.10,158.5,175.0,3.17,2.77,1.0,3.0,197.44875,-23.3852777889,22.235,-0.435,67.43137415521707,33.00694891081196,18.46,30.0
01a58295o0230o,58295.34813935,17.70,0.13,7.94,o,3959.19,2239.94,-477.7,1422.0,283.0,133.4,16.8,3.00,182.2,186.6,3.32,2.90,1.0,3.0,197.44875,-23.3852777889,22.211,-0.432,301.9747681270749,38.02980588107091,18.15,30.0
01a58295o0246o,58295.35559745,>19.13,0.00,3.0,o,3977.16,2279.00,7949.6,1377.0,226.0,-45.0,17.2,3.13,196.5,187.7,3.34,2.94,1.0,3.0,197.44875,-23.3852777889,22.202,-0.428,-104.37225250607838,39.893394291212175,18.09,30.0
01a58295o0263o,58295.36352525,17.37,0.11,9.24,o,3921.15,2203.16,226.2,1493.9,378.0,162.7,17.6,3.02,172.6,181.0,3.46,3.08,1.0,3.0,197.44875,-23.3852777889,22.189,-0.412,408.4069401218642,44.179238759341175,17.98,30.0
01a58295o0280o,58295.37137835,>18.95,0.00,3.0,o,3886.50,2321.39,3392.9,1837.8,161.0,-7.5,20.0,2.01,182.8,178.1,3.31,2.96,1.0,3.0,197.44875,-23.3852777889,22.179,-0.428,-17.727998794103524,47.27466345094274,17.93,30.0
01a58299o0195o,58299.33284285,>19.50,0.00,3.0,o,3519.73,4013.35,-1156.2,1003.0,78.0,-108.7,11.8,2.54,174.8,174.2,3.37,3.03,1.0,3.0,197.44875,-23.3852777889,22.207,-0.411,-256.9098873717303,27.88902181220256,18.47,30.0
01a58299o0213o,58299.34138635,>19.53,0.00,3.0,o,3535.37,4052.61,-1043.6,1013.5,169.0,11.3,12.0,3.48,170.0,171.9,3.33,2.93,1.0,3.0,197.44875,-23.3852777889,22.198,-0.428,26.137800728138345,27.756956525456644,18.46,30.0
01a58299o0230o,58299.34960085,>19.40,0.00,3.0,o,3479.00,3958.46,-3389.2,1151.8,88.0,-108.6,11.0,2.44,170.9,176.2,3.70,3.20,1.0,3.0,197.44875,-23.3852777889,22.188,-0.407,-301.7590285366032,30.564910809416528,18.36,30.0
01a58299o0247o,58299.35781325,18.50,0.27,3.49,o,3444.24,4076.07,-1274.0,1342.3,203.0,39.8,11.4,1.39,170.1,173.2,4.16,3.81,1.0,3.0,197.44875,-23.3852777889,22.174,-0.365,144.2713592985143,41.32395718600662,18.07,30.0
01a58311o0023o,58311.26004645,>20.01,0.00,3.0,o,9882.33,238.68,-799.9,735.4,211.0,-43.6,9.1,6.65,175.7,180.0,3.09,2.71,1.0,3.0,197.44875,-23.3852777889,22.216,-0.439,-85.99892149891987,17.949316184407586,19.07,30.0
01a58311o0038o,58311.26708635,>20.03,0.00,3.0,o,1596.29,10122.50,-5886.4,842.0,277.0,4.2,8.9,8.39,159.5,179.5,3.14,2.71,1.0,3.0,197.44875,-23.3852777889,22.231,-0.437,8.287565515143807,17.56174597256664,19.17,30.0
01a58311o0039o,58311.26754705,>20.17,0.00,3.0,o,9899.90,279.12,-985.3,836.8,153.0,-47.5,8.4,7.11,172.6,176.7,2.98,2.62,1.0,3.0,197.44875,-23.3852777889,22.211,-0.442,-88.00146666058558,15.562364630503557,19.19,30.0
01a58311o0046o,58311.27084995,16.90,0.04,23.91,o,40.73,404.46,33094.4,1240.3,564.0,310.8,13.0,200.00,200.0,185.8,3.16,2.74,1.0,3.0,197.44875,-23.3852777889,22.218,-0.434,629.7923787565629,26.342667065107197,19.17,30.0
01a58311o0055o,58311.27504315,>20.22,0.00,3.0,o,1614.12,10160.90,-7715.2,809.4,132.0,-70.3,8.1,9.29,154.3,177.2,2.99,2.61,1.0,3.0,197.44875,-23.3852777889,22.226,-0.443,-128.51261653135597,14.807285830782124,19.25,30.0
01a58311o0056o,58311.27550215,>20.22,0.00,3.0,o,9844.89,201.43,-1276.6,694.8,115.0,-131.1,8.4,11.29,175.4,179.3,2.93,2.53,1.0,3.0,197.44875,-23.3852777889,22.204,-0.447,-233.16833874649635,14.939847791537526,19.24,30.0
01a58311o0063o,58311.27878295,18.44,0.14,7.10,o,61.55,443.59,18899.9,810.9,315.0,76.0,10.7,100.49,192.8,178.2,3.12,2.74,1.0,3.0,197.44875,-23.3852777889,22.214,-0.434,152.6150960689876,21.48659905181799,19.18,30.0
01a58311o0072o,58311.28298305,19.61,0.30,3.11,o,1560.56,10084.50,-3992.9,737.7,324.0,28.9,9.3,9.37,164.1,179.0,2.77,2.77,1.0,3.0,197.44875,-23.3852777889,22.221,-0.444,52.23193632614569,16.80820096308495,19.25,30.0
01a58311o0073o,58311.28344415,>20.09,0.00,3.0,o,9828.53,321.63,-321.9,685.7,217.0,0.4,8.7,5.80,173.2,176.8,3.03,2.65,1.0,3.0,197.44875,-23.3852777889,22.199,-0.437,0.7670562961279196,16.68347444078225,19.16,30.0
01a58311o0079o,58311.28624975,19.44,0.73,1.05,o,4.24,366.45,-25121.0,898.0,-31415.0,33.5,31.9,55.00,138.4,186.9,2.98,2.56,1.0,3.0,197.44875,-23.3852777889,22.209,-0.443,60.8106690611661,57.906278897050704,19.23,30.0
01a58311o0088o,58311.29040295,>20.19,0.00,3.0,o,1542.68,10203.20,-5271.3,643.3,53.0,-203.9,8.6,11.93,160.5,176.9,2.92,2.57,1.0,3.0,197.44875,-23.3852777889,22.218,-0.448,-362.7537793567539,15.300061316665438,19.25,30.0
01a58311o0095o,58311.29363125,,,,o,,,,,,,,,,,,,1.0,3.0,197.44875,-23.3852777889,22.203,,,,19.23,30.0
01a58319o0036o,58319.25485565,>16.28,0.00,3.0,o,2421.24,2189.66,8350.0,5268.2,182.0,52.3,58.3,1.14,253.4,244.2,3.16,2.79,1.0,3.0,197.44875,-23.3852777889,20.555,-0.455,508.94601712221794,567.3337055110002,15.19,30.0
01a58319o0050o,58319.26145965,>16.30,0.00,3.0,o,2439.62,2228.42,-3422.5,4658.8,216.0,-19.3,55.9,1.12,51.2,61.6,3.19,2.78,1.0,3.0,197.44875,-23.3852777889,20.542,-0.461,-192.2522951749319,556.8343678900878,15.22,30.0
01a58319o0067o,58319.26939445,>17.08,0.00,3.0,o,2384.07,2151.10,5087.0,4445.5,447.0,-54.4,50.1,2.02,348.1,346.8,3.20,2.82,1.0,3.0,197.44875,-23.3852777889,21.216,-0.445,-292.0631276097342,268.9772553905824,16.1,30.0
01a58319o0084o,58319.27730495,>17.17,0.00,3.0,o,2351.13,2269.25,5211.5,3555.3,365.0,-71.3,46.0,1.31,361.8,347.6,3.02,2.64,1.0,3.0,197.44875,-23.3852777889,21.082,-0.467,-390.4623331002018,251.91118264529146,15.95,30.0
01a58323o0035o,58323.25590455,>18.97,0.00,3.0,o,3807.48,1961.65,-447.3,1649.4,106.0,-27.1,16.3,1.99,184.5,182.5,3.63,2.94,1.0,3.0,197.44875,-23.3852777889,22.074,-0.401,-74.9724997795027,45.094160383981325,17.87,30.0
01a58323o0050o,58323.26311225,>18.69,0.00,3.0,o,3825.93,1999.51,4920.1,1692.0,207.0,-46.4,21.2,1.67,181.8,167.9,3.51,2.89,1.0,3.0,197.44875,-23.3852777889,22.025,-0.411,-128.82545500962632,58.859906168191344,17.79,30.0
01a58323o0069o,58323.27220565,>18.96,0.00,3.0,o,3770.60,1923.82,-906.0,1569.8,102.0,-82.9,19.4,2.28,175.1,174.2,3.11,2.76,1.0,3.0,197.44875,-23.3852777889,22.018,-0.436,-200.58698330690183,46.94074157001079,17.86,30.0
01a58323o0087o,58323.28066775,>18.80,0.00,3.0,o,3753.91,2042.58,-3026.0,1850.5,172.0,-80.8,23.5,1.79,170.9,174.4,2.94,2.57,1.0,3.0,197.44875,-23.3852777889,21.921,-0.46,-192.38471300665825,55.95347469871868,17.69,30.0
01a58331o0019o,58331.24450495,>19.72,0.00,3.0,o,2097.15,1217.74,-3884.5,918.0,153.0,-80.3,9.9,3.39,186.2,194.9,3.26,2.94,1.0,3.0,197.44875,-23.3852777889,22.166,-0.419,-186.36279750033495,22.976235308260478,18.7,30.0
01a58331o0027o,58331.24819075,>19.91,0.00,3.0,o,2113.74,1254.91,-1723.6,755.7,131.0,-124.7,8.5,4.64,188.0,190.6,3.06,3.06,1.0,3.0,197.44875,-23.3852777889,22.159,-0.422,-285.3566853802851,19.45093685430973,18.88,30.0
